"FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"3","Other wooded land","2010","172","Costa Rica","12",""
"3","Other wooded land","2010","75","Côte d'Ivoire","2590",""
"3","Other wooded land","2010","105","Democratic People's Republic of Korea","0",""
"3","Other wooded land","2010","88","Cyprus","213.865",""
"3","Other wooded land","2010","148","Czech Republic","0",""
"3","Other wooded land","2010","182","Bermuda","0",""
"3","Other wooded land","2010","55","Benin","2889",""
"3","Other wooded land","2010","205","Bolivia (plurinational state of)","2473",""
"3","Other wooded land","2010","32","Bhutan","613",""
"3","Other wooded land","2010","14","Botswana","34791",""
"3","Other wooded land","2010","145","Bosnia and Herzegovina","549",""
"3","Other wooded land","2010","183","British Virgin Islands","1.68",""
"3","Other wooded land","2010","206","Brazil","43772",""
"3","Other wooded land","2010","146","Bulgaria","0",""
"3","Other wooded land","2010","81","Brunei Darussalam","50",""
"3","Other wooded land","2010","4","Burundi","722",""
"3","Other wooded land","2010","63","Burkina Faso","5009",""
"3","Other wooded land","2010","5","Cameroon","12715",""
"3","Other wooded land","2010","38","Cambodia","133",""
"3","Other wooded land","2010","64","Cape Verde","0",""
"3","Other wooded land","2010","203","Canada","91951",""
"3","Other wooded land","2010","13","Angola","0",""
"3","Other wooded land","2010","7656221","Anguilla","0",""
"3","Other wooded land","2010","179","Antigua and Barbuda","15.6",""
"3","Other wooded land","2010","215","Argentina","61471",""
"3","Other wooded land","2010","156","Armenia","45",""
"3","Other wooded land","2010","7656243","Aruba","0",""
"3","Other wooded land","2010","123","Australia","135367",""
"3","Other wooded land","2010","129","Austria","119",""
"3","Other wooded land","2010","157","Azerbaijan","54",""
"3","Other wooded land","2010","180","Bahamas","35.7",""
"3","Other wooded land","2010","87","Bahrain","0.09",""
"3","Other wooded land","2010","31","Bangladesh","289",""
"3","Other wooded land","2010","181","Barbados","0.65",""
"3","Other wooded land","2010","158","Belarus","520",""
"3","Other wooded land","2010","130","Belgium","28.1",""
"3","Other wooded land","2010","171","Belize","113",""
