"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","0","Carbon in above-ground biomass","2000","16","Mozambique","715",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","57","Morocco","0.09",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","107","Mongolia","2.95",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","7655168","Monaco","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","4921994","Micronesia (Federated States of)","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","176","Mexico","185",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","24","Mauritius","0.46",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","69","Mauritania","36.5",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","5293301","Marshall Islands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","197","Saint Pierre and Miquelon","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","198","Saint Vincent and the Grenadines","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","25","R?union","0.8",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","196","Saint Lucia","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","166","Russian Federation","200",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","10","Rwanda","0.611",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","106","Republic of Korea","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","165","Republic of Moldova","1.05",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","84","Philippines","96.54",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","150","Poland","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","178","Panama","33.2",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","118","Papua New Guinea","127.8",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","6008","Occupied Palestinian Territory","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","5294032","Palau","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","5293394","Northern Mariana Islands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","126","Norway","17",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","149","Hungary","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","7657948","Holy See","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","7655849","Isle of Man","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","127","Iceland","0.766",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","174","Guatemala","23.6",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","113","Guam","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","67","Guinea-Bissau","1",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","643000370","Guernsey","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","66","Gambia","4.33",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","209","French Guiana","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","189","Guadeloupe","0.01",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","7655146","Gibraltar","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","60","Ethiopia","172",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","159","Estonia","1.49",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","125","Finland","2.08",""
